순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
"1","005930","삼성전자","KOSPI","67500","-500","-0.74","9781038","664312604900","402960322125000","19.62","5969782550"
"2","373220","LG에너지솔루션","KOSPI","547000","-9000","-1.62","228274","125483596000","127998000000000","6.23","234000000"
"3","000660","SK하이닉스","KOSPI","115300","-3200","-2.70","2412381","282468444795","83938672684500","4.09","728002365"
"4","207940","삼성바이오로직스","KOSPI","801000","-1000","-0.12","43333","34724504000","57010374000000","2.78","71174000"
"5","005490","POSCO홀딩스","KOSPI","577000","-21000","-3.51","1198157","699735983000","48797599710000","2.38","84571230"
"6","005935","삼성전자우","KOSPI","56000","-300","-0.53","1238016","69552879256","46081655200000","2.24","822886700"
"7","051910","LG화학","KOSPI","622000","-12000","-1.89","163446","102107793722","43908437346000","2.14","70592343"
"8","006400","삼성SDI","KOSPI","633000","11000","1.77","205353","130829620000","43527947490000","2.12","68764530"
"9","005380","현대차","KOSPI","190500","2100","1.11","529916","101475636300","40296751893000","1.96","211531506"
"10","035420","NAVER","KOSPI","222000","-3000","-1.33","939248","211344486000","36418896870000","1.77","164049085"
"11","003670","포스코퓨처엠","KOSPI","440500","-11500","-2.54","392552","174011335000","34122548410000","1.66","77463220"
"12","000270","기아","KOSPI","80300","1400","1.77","1290039","104106392600","32284149500900","1.57","402044203"
"13","035720","카카오","KOSPI","51600","-1000","-1.90","1591602","82401625000","22928516244000","1.12","444351090"
"14","068270","셀트리온","KOSPI","156500","400","0.26","370992","58010208200","22912033505000","1.12","146402770"
"15","012330","현대모비스","KOSPI","233000","4500","1.97","267492","62462566560","21968426902000","1.07","94285094"
"16","105560","KB금융","KOSPI","51600","200","0.39","894788","46412581200","20821171315200","1.01","403511072"
"17","028260","삼성물산","KOSPI","104900","800","0.77","186144","19508684800","19468566183000","0.95","185591670"
"18","055550","신한지주","KOSPI","34800","0","0.00","966885","33896066000","18038479706400","0.88","518347118"
"19","096770","SK이노베이션","KOSPI","190500","0","0.00","402075","76586146000","17614689942000","0.86","92465564"
"20","066570","LG전자","KOSPI","103800","1900","1.86","820040","85470891400","16986643093200","0.83","163647814"
"21","047050","포스코인터내셔널","KOSPI","85200","-5800","-6.37","5353079","472587211100","14988621537600","0.73","175922788"
"22","032830","삼성생명","KOSPI","70300","200","0.29","126936","8945447400","14060000000000","0.68","200000000"
"23","323410","카카오뱅크","KOSPI","27600","-150","-0.54","1061949","29512971650","13158772981200","0.64","476767137"
"24","003550","LG","KOSPI","82300","-900","-1.08","281746","23269538900","12945871723900","0.63","157300993"
"25","015760","한국전력","KOSPI","18960","-70","-0.37","925840","17664600010","12171638899920","0.59","641964077"
"26","000810","삼성화재","KOSPI","250500","2500","1.01","111091","27765465986","11867396668500","0.58","47374837"
"27","329180","HD현대중공업","KOSPI","132500","500","0.38","97461","12918075900","11762437870000","0.57","88773116"
"28","033780","KT&G","KOSPI","85000","0","0.00","201613","17196887000","11669862245000","0.57","137292497"
"29","009150","삼성전기","KOSPI","151400","1500","1.00","374056","57001640100","11308625574400","0.55","74693696"
"30","086790","하나금융지주","KOSPI","38200","300","0.79","842321","32320988900","11303512783200","0.55","295903476"
"31","034730","SK","KOSPI","151100","-100","-0.07","96116","14603170700","11060267511900","0.54","73198329"
"32","034020","두산에너빌리티","KOSPI","16930","50","0.30","2143319","36289092260","10844700201780","0.53","640561146"
"33","352820","하이브","KOSPI","255000","-1500","-0.58","211734","53940583500","10621284735000","0.52","41652097"
"34","018260","삼성에스디에스","KOSPI","135200","-1500","-1.10","138694","18741613300","10461478560000","0.51","77377800"
"35","138040","메리츠금융지주","KOSPI","49750","1550","3.22","463485","23077840050","10358838435500","0.50","208217858"
"36","017670","SK텔레콤","KOSPI","46750","200","0.43","524738","24491381550","10230449482000","0.50","218833144"
"37","042660","한화오션","KOSPI","46400","-50","-0.11","1372818","63344726900","10062925713600","0.49","216873399"
"38","010130","고려아연","KOSPI","501000","1000","0.20","21746","10911701500","9951442158000","0.48","19863158"
"39","003490","대한항공","KOSPI","25000","150","0.60","1565510","39443005750","9205516525000","0.45","368220661"
"40","010950","S-Oil","KOSPI","77700","-900","-1.15","311314","24227498400","8747682938400","0.43","112582792"
"41","011200","HMM","KOSPI","17600","-80","-0.45","900517","15809487480","8607095129600","0.42","489039496"
"42","030200","KT","KOSPI","32300","400","1.25","681454","21940827600","8433911398400","0.41","261111808"
"43","009540","HD한국조선해양","KOSPI","118600","-800","-0.67","186084","22025723800","8393691557600","0.41","70773116"
"44","316140","우리금융지주","KOSPI","11420","30","0.26","2572077","29389542580","8314451469580","0.40","728060549"
"45","024110","기업은행","KOSPI","10410","10","0.10","454156","4737511650","8301203296290","0.40","797425869"
"46","010140","삼성중공업","KOSPI","9160","-10","-0.11","5507403","50188424490","8060800000000","0.39","880000000"
"47","259960","크래프톤","KOSPI","163100","2000","1.24","160992","26332339200","7887963383300","0.38","48362743"
"48","051900","LG생활건강","KOSPI","495000","-3000","-0.60","194502","97075871000","7731007515000","0.38","15618197"
"49","090430","아모레퍼시픽","KOSPI","130400","-100","-0.08","960303","127092379100","7627455773600","0.37","58492759"
"50","001570","금양","KOSPI","129900","-13700","-9.54","2958557","392287222900","7540699806300","0.37","58050037"